file,Model,shift,RMSE SENT,RMSE,pc,DM MSE,p_value MSE
ICLN,cnnlstm-ahead_Return,1,0.006809305439454,0.0075599858186128,-0.0992965327144687,-1.5840431825671637,0.1144531081127558
PBD,cnnlstm-ahead_Return,1,0.0051265226074316,0.0064864237374626,-0.2096534523603223,-3.174542319142841,0.0016896885761674
QCLN,cnnlstm-ahead_Return,1,0.0075912812788128,0.0110865572345793,-0.3152715384776636,-4.80766826441245,2.6440080746303046e-06
ICLN,cnnlstm-ahead_Return,3,0.0062974142672123,0.0081327397421034,-0.2256712415607704,-2.4963570540127784,0.0131950348243761
PBD,cnnlstm-ahead_Return,3,0.0060247985759815,0.0075780024916998,-0.2049621806563894,-3.380658286741247,0.0008394151424273
QCLN,cnnlstm-ahead_Return,3,0.0082963859750114,0.0100733109835714,-0.1763993002358452,-3.1841057832065247,0.0016369743627826
ICLN,cnnlstm-ahead_Return,5,0.0059489422358463,0.0087013782923182,-0.3163218474137411,-3.716052690973748,0.0002499010201386
PBD,cnnlstm-ahead_Return,5,0.0058713558968977,0.0074923823722677,-0.2163566132676449,-3.361975173593458,0.0008956421566242
QCLN,cnnlstm-ahead_Return,5,0.0082893397410043,0.009890368730781,-0.1618775834710728,-3.315443299365173,0.0010513079997667
ICLN,cnnlstm-ahead_vol,1,0.000542514336711,0.0006418857697892,-0.154811709115798,-1.8451135525240685,0.0662084476952063
PBD,cnnlstm-ahead_vol,1,0.0003899873766428,0.0004239090227705,-0.0800210524087576,-0.9347198556876216,0.3508382670382923
QCLN,cnnlstm-ahead_vol,1,0.0003700162916203,0.0004668401009445,-0.2074025113272281,-3.785637828682821,0.0001921844062608
ICLN,cnnlstm-ahead_vol,3,0.0006582943380253,0.0009119050531464,-0.2781108781511878,-2.612925701813703,0.0095232074819327
PBD,cnnlstm-ahead_vol,3,0.000825597675361,0.0007349161600755,0.123390286146583,0.8356011239176919,0.404180417773785
QCLN,cnnlstm-ahead_vol,3,0.0005937631970884,0.0007740940681164,-0.2329573090086049,-3.344138794373227,0.0009525803316123
ICLN,cnnlstm-ahead_vol,5,0.0008748452253585,0.0009856451236143,-0.1124135813196918,-1.0647310006197577,0.2880290639278057
PBD,cnnlstm-ahead_vol,5,0.0007732421141718,0.0010247337957237,-0.2454214768765782,-1.3227198197332135,0.1871420851426007
QCLN,cnnlstm-ahead_vol,5,0.0006429212711687515,0.0008416118349554647,-0.23608337660464015,-3.2236038767655066,0.0014349879594385462
